20191005,MIDDLE TENN.,1419,1388,MIDDLE TENN.,MARSHALL
20191005,RUTGERS,1587,1392,RUTGERS,MARYLAND
20191005,FIU,1231,1400,FIU,MASSACHUSETTS
20191005,LA.-MONROE,1498,1404,LA.-MONROE,MEMPHIS
20191005,OHIO ST.,1518,1416,OHIO ST.,MICHIGAN ST.
20191005,GEORGIA TECH,1255,1457,GEORGIA TECH,NORTH CAROLINA
20191005,NEBRASKA,1463,1509,NEBRASKA,NORTHWESTERN
20191005,BUFFALO,1086,1519,BUFFALO,OHIO
20191005,TEXAS TECH,1700,1521,TEXAS TECH,OKLAHOMA ST.
20191005,KANSAS,1328,1522,KANSAS,OKLAHOMA
20191005,UCLA,1110,1528,UCLA,OREGON ST.
20191005,DUKE,1193,1545,DUKE,PITTSBURGH
20191005,PENN ST.,1539,1559,PENN ST.,PURDUE
20191005,UAB,1009,1574,UAB,RICE
20191005,COLORADO ST.,1156,1626,COLORADO ST.,SAN DIEGO ST.
20191005,CONNECTICUT,1164,1651,CONNECTICUT,SOUTH FLA.
20191005,IOWA ST.,1311,1698,IOWA ST.,TCU
20191005,WEST VIRGINIA,1768,1703,WEST VIRGINIA,TEXAS
20191005,UTEP,1704,1706,UTEP,UTSA
20191005,MISSOURI,1434,1716,MISSOURI,TROY
20191005,ARMY,1725,1718,ARMY,TULANE
20191005,SMU,1663,1719,SMU,TULSA
20191005,NAVY,1726,1721,NAVY,AIR FORCE
20191005,LSU,1365,1731,LSU,UTAH ST.
20191005,MISSISSIPPI,1433,1736,MISSISSIPPI,VANDERBILT
20191005,MIAMI (FL),1415,1742,MIAMI (FL),VIRGINIA TECH
20191005,STANFORD,1674,1756,STANFORD,WASHINGTON
20191005,OLD DOMINION,1523,1772,OLD DOMINION,WESTERN KY.
20191005,TOLEDO,1709,1774,TOLEDO,WESTERN MICH.
20191009,LA.-LAFAYETTE,1671,1027,LA.-LAFAYETTE,APPALACHIAN ST.
20191010,TEXAS ST.,1670,1498,TEXAS ST.,LA.-MONROE
20191010,NORTH CAROLINA ST.,1490,1688,NORTH CAROLINA ST.,SYRACUSE
20191011,NEW MEXICO,1473,1156,NEW MEXICO,COLORADO ST.
20191011,OREGON,1529,1157,OREGON,COLORADO
20191011,MIAMI (FL),1415,1746,MIAMI (FL),VIRGINIA
20191012,TEXAS A&M,1697,1008,TEXAS A&M,ALABAMA
20191012,UTSA,1706,1009,UTSA,UAB
20191012,KENTUCKY,1334,1031,KENTUCKY,ARKANSAS
20191012,EASTERN MICH.,1204,1047,EASTERN MICH.,BALL ST.
20191012,SOUTH FLA.,1651,1077,SOUTH FLA.,BYU
20191012,AIR FORCE,1721,1096,AIR FORCE,FRESNO ST.
20191012,HOUSTON,1288,1140,HOUSTON,CINCINNATI
20191012,TULANE,1718,1164,TULANE,CONNECTICUT
20191012,CLEMSON,1147,1234,CLEMSON,FLORIDA ST.
